Company,GL Level 02,GL Level 03,GL Level 04,GL Level 05,GL Level 06,Income Balance,Posting Date,Budget,Budget Reverse Sign,Budget Variance,Budget Variance Reverse Sign,Amount,Amount Reverse Sign,Amount LY,Amount LY Reverse Sign,Amount Variance,Amount Variance Reverse Sign,Balance,Balance Reverse Sign,Balance LY,Balance LY Reverse,Balance Variance,Balance Variance Reverse Sign,Closing Entry,Quarter
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/01/2018 00:00,,,177687,-177687,177687,-177687,136407,-136407,41280,-41280,2523993,-2523993,1538890,-1538890,985103,-985103,Regular Entry,2018 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/02/2018 00:00,,,55715,-55715,55715,-55715,178338,-178338,-122623,122623,2579708,-2579708,1717228,-1717228,862480,-862480,Regular Entry,2018 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/03/2018 00:00,,,52205,-52205,52205,-52205,67246,-67246,-15041,15041,2631914,-2631914,1784474,-1784474,847440,-847440,Regular Entry,2018 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/04/2018 00:00,,,-25077,25077,-25077,25077,207223,-207223,-232300,232300,2606836,-2606836,1991697,-1991697,615139,-615139,Regular Entry,2018 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/05/2018 00:00,,,208137,-208137,208137,-208137,-79617,79617,287754,-287754,2814973,-2814973,1912080,-1912080,902893,-902893,Regular Entry,2018 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/06/2018 00:00,,,191633,-191633,191633,-191633,57342,-57342,134291,-134291,3006606,-3006606,1969422,-1969422,1037184,-1037184,Regular Entry,2018 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/07/2018 00:00,,,113068,-113068,113068,-113068,58846,-58846,54222,-54222,3119673,-3119673,2028268,-2028268,1091406,-1091406,Regular Entry,2018 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/08/2018 00:00,,,-57152,57152,-57152,57152,137081,-137081,-194233,194233,3062522,-3062522,2165348,-2165348,897173,-897173,Regular Entry,2018 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/09/2018 00:00,,,283369,-283369,283369,-283369,-41865,41865,325233,-325233,3345891,-3345891,2123484,-2123484,1222407,-1222407,Regular Entry,2018 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/10/2018 00:00,,,39524,-39524,39524,-39524,-13111,13111,52636,-52636,3385415,-3385415,2110372,-2110372,1275043,-1275043,Regular Entry,2018 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/11/2018 00:00,,,381687,-381687,381687,-381687,171688,-171688,209999,-209999,3767102,-3767102,2282061,-2282061,1485042,-1485042,Regular Entry,2018 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/12/2018 00:00,,,-20129,20129,-20129,20129,64246,-64246,-84375,84375,3746973,-3746973,2346307,-2346307,1400666,-1400666,Regular Entry,2018 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/01/2019 00:00,,,-22872,22872,-22872,22872,177687,-177687,-200558,200558,3724101,-3724101,2523993,-2523993,1200108,-1200108,Regular Entry,2019 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/02/2019 00:00,,,318034,-318034,318034,-318034,55715,-55715,262319,-262319,4042136,-4042136,2579708,-2579708,1462427,-1462427,Regular Entry,2019 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/03/2019 00:00,,,110938,-110938,110938,-110938,52205,-52205,58732,-58732,4153073,-4153073,2631914,-2631914,1521159,-1521159,Regular Entry,2019 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/04/2019 00:00,,,321214,-321214,321214,-321214,-25077,25077,346292,-346292,4474287,-4474287,2606836,-2606836,1867451,-1867451,Regular Entry,2019 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/05/2019 00:00,,,96160,-96160,96160,-96160,208137,-208137,-111976,111976,4570448,-4570448,2814973,-2814973,1755475,-1755475,Regular Entry,2019 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/06/2019 00:00,,,509582,-509582,509582,-509582,191633,-191633,317949,-317949,5080030,-5080030,3006606,-3006606,2073424,-2073424,Regular Entry,2019 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/07/2019 00:00,,,-194710,194710,-194710,194710,113068,-113068,-307778,307778,4885320,-4885320,3119673,-3119673,1765647,-1765647,Regular Entry,2019 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/08/2019 00:00,,,-175973,175973,-175973,175973,-57152,57152,-118821,118821,4709347,-4709347,3062522,-3062522,1646826,-1646826,Regular Entry,2019 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/09/2019 00:00,,,260053,-260053,260053,-260053,283369,-283369,-23316,23316,4969400,-4969400,3345891,-3345891,1623509,-1623509,Regular Entry,2019 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/10/2019 00:00,,,60726,-60726,60726,-60726,39524,-39524,21201,-21201,5030126,-5030126,3385415,-3385415,1644711,-1644711,Regular Entry,2019 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/11/2019 00:00,,,219367,-219367,219367,-219367,381687,-381687,-162321,162321,5249492,-5249492,3767102,-3767102,1482390,-1482390,Regular Entry,2019 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/12/2019 00:00,,,83119,-83119,83119,-83119,-20129,20129,103248,-103248,5332612,-5332612,3746973,-3746973,1585638,-1585638,Regular Entry,2019 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/01/2020 00:00,,,235290,-235290,235290,-235290,-22872,22872,258162,-258162,5567902,-5567902,3724101,-3724101,1843800,-1843800,Regular Entry,2020 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/02/2020 00:00,,,122297,-122297,122297,-122297,318034,-318034,-195737,195737,5690199,-5690199,4042136,-4042136,1648063,-1648063,Regular Entry,2020 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/03/2020 00:00,,,90,-90,90,-90,110938,-110938,-110847,110847,5690289,-5690289,4153073,-4153073,1537216,-1537216,Regular Entry,2020 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/04/2020 00:00,,,724625,-724625,724625,-724625,321214,-321214,403411,-403411,6414915,-6414915,4474287,-4474287,1940627,-1940627,Regular Entry,2020 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/05/2020 00:00,,,628077,-628077,628077,-628077,96160,-96160,531917,-531917,7042992,-7042992,4570448,-4570448,2472544,-2472544,Regular Entry,2020 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/06/2020 00:00,,,768841,-768841,768841,-768841,509582,-509582,259259,-259259,7811833,-7811833,5080030,-5080030,2731803,-2731803,Regular Entry,2020 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/07/2020 00:00,,,525618,-525618,525618,-525618,-194710,194710,720327,-720327,8337451,-8337451,4885320,-4885320,3452131,-3452131,Regular Entry,2020 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/08/2020 00:00,,,572552,-572552,572552,-572552,-175973,175973,748525,-748525,8910003,-8910003,4709347,-4709347,4200655,-4200655,Regular Entry,2020 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/09/2020 00:00,,,599642,-599642,599642,-599642,260053,-260053,339589,-339589,9509644,-9509644,4969400,-4969400,4540244,-4540244,Regular Entry,2020 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/10/2020 00:00,,,659655,-659655,659655,-659655,60726,-60726,598930,-598930,10169300,-10169300,5030126,-5030126,5139174,-5139174,Regular Entry,2020 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/11/2020 00:00,,,717569,-717569,717569,-717569,219367,-219367,498202,-498202,10886868,-10886868,5249492,-5249492,5637376,-5637376,Regular Entry,2020 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13100 - Customers, North America",,Balance Sheet,01/12/2020 00:00,,,595953,-595953,595953,-595953,83119,-83119,512833,-512833,11482821,-11482821,5332612,-5332612,6150210,-6150210,Regular Entry,2020 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,,,,,,,,713230,-713230,-713230,713230,34663798,-34663798,30210099,-30210099,4453699,-4453699,Regular Entry,Unknown
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/01/2016 00:00,,,707855,-707855,707855,-707855,,,707855,-707855,707855,-707855,,,707855,-707855,Regular Entry,2016 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/02/2016 00:00,,,718238,-718238,718238,-718238,,,718238,-718238,1426093,-1426093,,,1426093,-1426093,Regular Entry,2016 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/03/2016 00:00,,,518705,-518705,518705,-518705,,,518705,-518705,1944798,-1944798,,,1944798,-1944798,Regular Entry,2016 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/04/2016 00:00,,,477007,-477007,477007,-477007,,,477007,-477007,2421805,-2421805,,,2421805,-2421805,Regular Entry,2016 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/05/2016 00:00,,,540562,-540562,540562,-540562,,,540562,-540562,2962368,-2962368,,,2962368,-2962368,Regular Entry,2016 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/06/2016 00:00,,,560721,-560721,560721,-560721,,,560721,-560721,3523089,-3523089,,,3523089,-3523089,Regular Entry,2016 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/07/2016 00:00,,,495211,-495211,495211,-495211,,,495211,-495211,4018299,-4018299,,,4018299,-4018299,Regular Entry,2016 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/08/2016 00:00,,,569155,-569155,569155,-569155,,,569155,-569155,4587454,-4587454,,,4587454,-4587454,Regular Entry,2016 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/09/2016 00:00,,,576702,-576702,576702,-576702,,,576702,-576702,5164156,-5164156,,,5164156,-5164156,Regular Entry,2016 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/10/2016 00:00,,,587567,-587567,587567,-587567,,,587567,-587567,5751724,-5751724,,,5751724,-5751724,Regular Entry,2016 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/11/2016 00:00,,,564177,-564177,564177,-564177,,,564177,-564177,6315901,-6315901,,,6315901,-6315901,Regular Entry,2016 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/12/2016 00:00,,,524408,-524408,524408,-524408,,,524408,-524408,6840309,-6840309,,,6840309,-6840309,Regular Entry,2016 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/01/2017 00:00,,,580225,-580225,580225,-580225,707855,-707855,-127630,127630,7420534,-7420534,707855,-707855,6712679,-6712679,Regular Entry,2017 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/02/2017 00:00,,,622113,-622113,622113,-622113,718238,-718238,-96125,96125,8042647,-8042647,1426093,-1426093,6616554,-6616554,Regular Entry,2017 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/03/2017 00:00,,,634584,-634584,634584,-634584,518705,-518705,115880,-115880,8677231,-8677231,1944798,-1944798,6732433,-6732433,Regular Entry,2017 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/04/2017 00:00,,,542293,-542293,542293,-542293,477007,-477007,65286,-65286,9219525,-9219525,2421805,-2421805,6797719,-6797719,Regular Entry,2017 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/05/2017 00:00,,,636495,-636495,636495,-636495,540562,-540562,95933,-95933,9856019,-9856019,2962368,-2962368,6893652,-6893652,Regular Entry,2017 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/06/2017 00:00,,,861958,-861958,861958,-861958,560721,-560721,301237,-301237,10717978,-10717978,3523089,-3523089,7194889,-7194889,Regular Entry,2017 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/07/2017 00:00,,,531893,-531893,531893,-531893,495211,-495211,36682,-36682,11249870,-11249870,4018299,-4018299,7231571,-7231571,Regular Entry,2017 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/08/2017 00:00,,,597556,-597556,597556,-597556,569155,-569155,28402,-28402,11847427,-11847427,4587454,-4587454,7259973,-7259973,Regular Entry,2017 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/09/2017 00:00,,,434624,-434624,434624,-434624,576702,-576702,-142079,142079,12282051,-12282051,5164156,-5164156,7117894,-7117894,Regular Entry,2017 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/10/2017 00:00,,,551631,-551631,551631,-551631,587567,-587567,-35937,35937,12833681,-12833681,5751724,-5751724,7081958,-7081958,Regular Entry,2017 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/11/2017 00:00,,,571430,-571430,571430,-571430,564177,-564177,7253,-7253,13405112,-13405112,6315901,-6315901,7089210,-7089210,Regular Entry,2017 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/12/2017 00:00,,,769245,-769245,769245,-769245,524408,-524408,244837,-244837,14174357,-14174357,6840309,-6840309,7334048,-7334048,Regular Entry,2017 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/01/2018 00:00,,,486110,-486110,486110,-486110,580225,-580225,-94115,94115,14660466,-14660466,7420534,-7420534,7239932,-7239932,Regular Entry,2018 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/02/2018 00:00,,,463461,-463461,463461,-463461,622113,-622113,-158652,158652,15123928,-15123928,8042647,-8042647,7081281,-7081281,Regular Entry,2018 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/03/2018 00:00,,,497959,-497959,497959,-497959,634584,-634584,-136625,136625,15621887,-15621887,8677231,-8677231,6944655,-6944655,Regular Entry,2018 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/04/2018 00:00,,,532534,-532534,532534,-532534,542293,-542293,-9759,9759,16154420,-16154420,9219525,-9219525,6934896,-6934896,Regular Entry,2018 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/05/2018 00:00,,,682208,-682208,682208,-682208,636495,-636495,45713,-45713,16836629,-16836629,9856019,-9856019,6980609,-6980609,Regular Entry,2018 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/06/2018 00:00,,,606421,-606421,606421,-606421,861958,-861958,-255538,255538,17443049,-17443049,10717978,-10717978,6725072,-6725072,Regular Entry,2018 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/07/2018 00:00,,,614680,-614680,614680,-614680,531893,-531893,82788,-82788,18057730,-18057730,11249870,-11249870,6807859,-6807859,Regular Entry,2018 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/08/2018 00:00,,,481461,-481461,481461,-481461,597556,-597556,-116095,116095,18539191,-18539191,11847427,-11847427,6691764,-6691764,Regular Entry,2018 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/09/2018 00:00,,,497272,-497272,497272,-497272,434624,-434624,62648,-62648,19036463,-19036463,12282051,-12282051,6754413,-6754413,Regular Entry,2018 Q3
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/10/2018 00:00,,,587113,-587113,587113,-587113,551631,-551631,35482,-35482,19623576,-19623576,12833681,-12833681,6789895,-6789895,Regular Entry,2018 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/11/2018 00:00,,,678845,-678845,678845,-678845,571430,-571430,107415,-107415,20302422,-20302422,13405112,-13405112,6897310,-6897310,Regular Entry,2018 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/12/2018 00:00,,,540488,-540488,540488,-540488,769245,-769245,-228757,228757,20842909,-20842909,14174357,-14174357,6668553,-6668553,Regular Entry,2018 Q4
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/01/2019 00:00,,,671079,-671079,671079,-671079,486110,-486110,184970,-184970,21513989,-21513989,14660466,-14660466,6853522,-6853522,Regular Entry,2019 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/02/2019 00:00,,,669676,-669676,669676,-669676,463461,-463461,206214,-206214,22183664,-22183664,15123928,-15123928,7059737,-7059737,Regular Entry,2019 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/03/2019 00:00,,,685954,-685954,685954,-685954,497959,-497959,187995,-187995,22869619,-22869619,15621887,-15621887,7247732,-7247732,Regular Entry,2019 Q1
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/04/2019 00:00,,,737474,-737474,737474,-737474,532534,-532534,204940,-204940,23607093,-23607093,16154420,-16154420,7452673,-7452673,Regular Entry,2019 Q2
CRONUS JetCorp UK,Assets,Current Assets,Accounts Receivable,"13200 - Customers, EU",,Balance Sheet,01/05/2019 00:00,,,883179,-883179,883179,-883179,682208,-682208,200971,-200971,24490272,-24490272,16836629,-16836629,7653643,-7653643,Regular Entry,2019 Q2
